Unnamed: 0,surfactant,nanoparticle,concentration,run_id,bd_row_idx,bd_t [s],bd_BC [mm?²],bd_M?B?A? [µm²],bd_SD M?B?A? [µm²],bd_R_avg [Âµm],bd_Ravg [µm],bd_R21 [µm],bd_R32 [µm],bd_v,bd_w,hd_t [s],hd_h_foam [mm],hd_h_liquid [mm],hd_h_total [mm],hd_V_foam [mL],hd_V_liquid [mL],hd_V_total [mL],hd_FVS [%],hd_FLS [%],hd_T [°C],frame_path
68,Bioterg i wt.%,AL2O3_Done,0.00625,1,68,403.98,0.485,2059908.0,1622577.0,751.0,810.0,873.0,977.0,1.0,1.0,404.05,130.7,34.6,165.4,158.2,41.9,200.1,61.1,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_131.png
69,Bioterg i wt.%,AL2O3_Done,0.00625,1,69,408.98,0.515,1941578.0,1696442.0,711.0,786.0,870.0,987.0,1.0,1.0,409.05,129.5,34.5,164.0,156.7,41.7,198.4,60.5,52.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_132.png
70,Bioterg i wt.%,AL2O3_Done,0.00625,1,70,413.98,0.511,1955566.0,1754006.0,712.0,789.0,874.0,1001.0,1.0,1.0,414.05,128.2,34.6,162.9,155.2,41.9,197.1,59.9,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_133.png
71,Bioterg i wt.%,AL2O3_Done,0.00625,1,71,418.98,0.568,1760328.0,1821046.0,658.0,749.0,852.0,1005.0,2.0,2.0,419.05,127.4,34.8,162.1,154.1,42.0,196.2,59.5,51.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_134.png
72,Bioterg i wt.%,AL2O3_Done,0.00625,1,72,423.98,0.522,1917123.0,1946644.0,700.0,781.0,872.0,1034.0,2.0,2.0,424.05,126.6,34.6,161.2,153.2,41.9,195.1,59.1,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_135.png
73,Bioterg i wt.%,AL2O3_Done,0.00625,1,73,428.98,0.531,1881667.0,1936447.0,696.0,774.0,861.0,1027.0,2.0,2.0,429.05,125.9,34.6,160.5,152.3,41.9,194.2,58.8,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_136.png
74,Bioterg i wt.%,AL2O3_Done,0.00625,1,74,433.98,0.525,1904561.0,1961948.0,691.0,779.0,877.0,1041.0,2.0,2.0,434.05,124.9,34.6,159.5,151.1,41.9,193.0,58.3,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_137.png
75,Bioterg i wt.%,AL2O3_Done,0.00625,1,75,438.98,0.544,1838503.0,1993613.0,666.0,765.0,878.0,1051.0,2.0,2.0,439.05,116.3,42.5,158.8,140.7,51.4,192.1,54.3,24.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_138.png
76,Bioterg i wt.%,AL2O3_Done,0.00625,1,76,443.98,0.598,1671438.0,1920841.0,616.0,729.0,864.0,1035.0,2.0,2.0,444.05,107.1,50.6,157.7,129.6,61.3,190.9,50.0,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_139.png
77,Bioterg i wt.%,AL2O3_Done,0.00625,1,77,448.98,0.552,1812745.0,1905217.0,651.0,760.0,886.0,1032.0,1.0,1.0,449.05,106.3,50.7,157.0,128.6,61.4,190.0,49.6,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_140.png
78,Bioterg i wt.%,AL2O3_Done,0.00625,1,78,453.98,0.491,2035064.0,2012459.0,725.0,805.0,893.0,1049.0,1.0,1.0,454.05,121.6,34.6,156.2,147.2,41.9,189.1,56.8,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_141.png
79,Bioterg i wt.%,AL2O3_Done,0.00625,1,79,458.98,0.527,1898637.0,2033616.0,688.0,777.0,878.0,1051.0,1.0,1.0,459.05,118.7,34.8,153.5,143.7,42.0,185.7,55.5,51.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_142.png
80,Bioterg i wt.%,AL2O3_Done,0.00625,1,80,463.98,0.568,1761354.0,1945507.0,652.0,749.0,860.0,1031.0,1.0,1.0,464.05,118.5,34.8,153.3,143.4,42.0,185.4,55.3,51.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_143.png
81,Bioterg i wt.%,AL2O3_Done,0.00625,1,81,468.98,0.585,1708840.0,1925589.0,621.0,738.0,876.0,1033.0,1.0,1.0,469.05,118.2,34.6,152.9,143.1,41.9,185.0,55.2,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_144.png
82,Bioterg i wt.%,AL2O3_Done,0.00625,1,82,473.98,0.554,1806255.0,1979256.0,642.0,758.0,895.0,1047.0,1.0,1.0,474.05,108.9,42.7,151.6,131.7,51.7,183.5,50.8,23.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_145.png
83,Bioterg i wt.%,AL2O3_Done,0.00625,1,83,478.98,0.443,2257108.0,2160835.0,763.0,848.0,942.0,1088.0,1.0,0.0,479.05,108.2,42.6,150.9,131.0,51.6,182.6,50.6,24.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_146.png
84,Bioterg i wt.%,AL2O3_Done,0.00625,1,84,483.98,0.452,2211400.0,2406459.0,727.0,839.0,968.0,1143.0,1.0,0.0,484.05,116.0,34.6,150.6,140.4,41.9,182.3,54.2,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_147.png
85,Bioterg i wt.%,AL2O3_Done,0.00625,1,85,488.98,0.409,2442851.0,2355626.0,793.0,882.0,980.0,1134.0,1.0,-1.0,489.05,114.4,34.6,149.0,138.4,41.9,180.3,53.4,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_148.png
86,Bioterg i wt.%,AL2O3_Done,0.00625,1,86,493.98,0.424,2356104.0,2479977.0,761.0,866.0,986.0,1160.0,1.0,-1.0,494.05,113.9,34.6,148.5,137.8,41.9,179.7,53.2,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_149.png
87,Bioterg i wt.%,AL2O3_Done,0.00625,1,87,498.98,0.401,2491031.0,2536247.0,774.0,890.0,1025.0,1188.0,1.0,-1.0,499.05,112.6,34.6,147.3,136.3,41.9,178.2,52.6,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_150.png
88,Bioterg i wt.%,AL2O3_Done,0.00625,1,88,503.98,0.573,1743825.0,1964886.0,634.0,745.0,876.0,1039.0,1.0,-1.0,504.05,111.4,34.8,146.1,134.8,42.0,176.8,52.0,51.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_151.png
89,Bioterg i wt.%,AL2O3_Done,0.00625,1,89,508.98,0.5,1999378.0,1910671.0,677.0,798.0,940.0,1052.0,0.0,-2.0,509.05,110.9,34.6,145.5,134.2,41.9,176.1,51.8,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_152.png
90,Bioterg i wt.%,AL2O3_Done,0.00625,1,90,513.98,0.479,2087406.0,1847264.0,696.0,815.0,955.0,1041.0,0.0,-2.0,514.05,109.9,34.5,144.4,132.9,41.7,174.7,51.3,52.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_153.png
91,Bioterg i wt.%,AL2O3_Done,0.00625,1,91,518.98,0.45,2221292.0,1708600.0,739.0,841.0,956.0,1018.0,0.0,-2.0,519.05,101.4,42.5,143.9,122.7,51.4,174.1,47.3,24.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_154.png
1655,Bioterg i wt.%,CeO,0.0125,3,0,63.46,59.317,,,,,,,2.0,9.0,65.65,,,,,,,100.0,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_063.png
1656,Bioterg i wt.%,CeO,0.0125,3,1,68.46,56.378,,,,,,,1.0,3.0,68.65,,,,,,,99.9,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_064.png
1657,Bioterg i wt.%,CeO,0.0125,3,2,73.46,50.403,,,,,,,5.0,69.0,73.65,,,,,,,99.1,98.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_065.png
1658,Bioterg i wt.%,CeO,0.0125,3,3,78.46,48.087,,,,,,,3.0,25.0,78.65,,,,,,,96.8,92.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_066.png
1659,Bioterg i wt.%,CeO,0.0125,3,4,83.46,46.677,,,,,,,1.0,3.0,83.65,,,,,,,94.6,86.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_067.png
1660,Bioterg i wt.%,CeO,0.0125,3,5,88.46,46.928,,,,,,,1.0,2.0,88.65,,,,,,,92.9,79.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_068.png
1661,Bioterg i wt.%,CeO,0.0125,3,6,93.46,44.527,,,,,,,1.0,3.0,93.65,,,,,,,90.3,71.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_069.png
1662,Bioterg i wt.%,CeO,0.0125,3,7,98.46,42.186,,,,,,,2.0,8.0,98.65,,,,,,,88.4,63.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_070.png
1663,Bioterg i wt.%,CeO,0.0125,3,8,103.46,38.096,,,,,,,2.0,12.0,103.65,,,,,,,85.4,55.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_071.png
1664,Bioterg i wt.%,CeO,0.0125,3,9,108.46,33.77,,,,,,,2.0,9.0,108.65,,,,,,,83.0,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_072.png
1665,Bioterg i wt.%,CeO,0.0125,3,10,113.46,28.507,,,,,,,2.0,9.0,113.65,,,,,,,81.1,41.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_073.png
1666,Bioterg i wt.%,CeO,0.0125,3,11,118.46,23.067,,,,,,,3.0,9.0,118.65,,,,,,,78.4,34.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_074.png
1667,Bioterg i wt.%,CeO,0.0125,3,12,123.46,18.86,,,,,,,3.0,9.0,123.65,,,,,,,77.1,30.4,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_075.png
1668,Bioterg i wt.%,CeO,0.0125,3,13,128.46,14.589,,,,,,,2.0,6.0,128.65,,,,,,,75.6,25.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_076.png
1669,Bioterg i wt.%,CeO,0.0125,3,14,133.46,11.875,,,,,,,2.0,6.0,133.65,,,,,,,73.9,21.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_077.png
1670,Bioterg i wt.%,CeO,0.0125,3,15,138.46,9.51,,,,,,,2.0,7.0,138.65,,,,,,,72.6,18.4,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_078.png
1671,Bioterg i wt.%,CeO,0.0125,3,16,143.46,7.462,,,,,,,2.0,5.0,143.65,,,,,,,71.8,16.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_079.png
1672,Bioterg i wt.%,CeO,0.0125,3,17,148.46,5.849,,,,,,,2.0,5.0,148.65,,,,,,,71.1,13.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_080.png
1673,Bioterg i wt.%,CeO,0.0125,3,18,153.46,4.623,,,,,,,2.0,5.0,153.65,,,,,,,69.6,12.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_081.png
1674,Bioterg i wt.%,CeO,0.0125,3,19,158.46,3.971,,,,,,,2.0,4.0,158.65,,,,,,,68.7,10.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_082.png
1675,Bioterg i wt.%,CeO,0.0125,3,20,163.46,3.192,,,,,,,1.0,2.0,163.65,,,,,,,67.8,9.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_083.png
1676,Bioterg i wt.%,CeO,0.0125,3,21,168.46,2.708,,,,,,,1.0,2.0,168.65,,,,,,,67.2,9.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_084.png
1677,Bioterg i wt.%,CeO,0.0125,3,22,173.46,2.289,,,,,,,1.0,2.0,173.65,,,,,,,66.5,8.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_085.png
1678,Bioterg i wt.%,CeO,0.0125,3,23,178.46,1.872,,,,,,,2.0,5.0,178.65,,,,,,,65.8,7.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_086.png
1679,Bioterg i wt.%,CeO,0.0125,3,24,183.46,1.616,,,,,,,2.0,3.0,183.65,,,,,,,65.2,7.4,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_087.png
1680,Bioterg i wt.%,CeO,0.0125,3,25,188.46,1.406,,,,,,,1.0,2.0,188.65,,,,,,,64.5,6.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_088.png
1681,Bioterg i wt.%,CeO,0.0125,3,26,193.46,1.214,,,,,,,2.0,4.0,193.65,,,,,,,64.0,6.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_089.png
1682,Bioterg i wt.%,CeO,0.0125,3,27,198.46,1.137,,,,,,,2.0,3.0,198.65,,,,,,,63.4,6.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_090.png
1683,Bioterg i wt.%,CeO,0.0125,3,28,203.46,1.026,,,,,,,2.0,3.0,203.65,,,,,,,62.7,5.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_091.png
1684,Bioterg i wt.%,CeO,0.0125,3,29,208.46,0.925,,,,,,,2.0,3.0,208.65,,,,,,,62.1,5.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_092.png
1685,Bioterg i wt.%,CeO,0.0125,3,30,213.46,0.837,,,,,,,2.0,3.0,213.65,,,,,,,61.6,5.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_093.png
1686,Bioterg i wt.%,CeO,0.0125,3,31,218.46,0.836,,,,,,,2.0,3.0,218.65,,,,,,,60.6,5.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_094.png
1687,Bioterg i wt.%,CeO,0.0125,3,32,223.46,0.786,,,,,,,2.0,3.0,223.65,,,,,,,60.4,5.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_095.png
1688,Bioterg i wt.%,CeO,0.0125,3,33,228.46,0.724,,,,,,,2.0,3.0,228.65,,,,,,,60.0,4.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_096.png
1689,Bioterg i wt.%,CeO,0.0125,3,34,233.46,0.695,,,,,,,1.0,2.0,233.65,,,,,,,59.4,4.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_097.png
1690,Bioterg i wt.%,CeO,0.0125,3,35,238.46,0.649,,,,,,,2.0,3.0,238.65,,,,,,,59.0,4.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_098.png
1691,Bioterg i wt.%,CeO,0.0125,3,36,243.46,0.626,,,,,,,2.0,3.0,243.65,,,,,,,58.4,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_099.png
1692,Bioterg i wt.%,CeO,0.0125,3,37,248.46,0.672,,,,,,,2.0,3.0,248.65,,,,,,,57.9,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_100.png
1693,Bioterg i wt.%,CeO,0.0125,3,38,253.46,0.788,,,,,,,2.0,3.0,253.65,,,,,,,57.5,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_101.png
1694,Bioterg i wt.%,CeO,0.0125,3,39,258.46,0.756,,,,,,,2.0,3.0,258.65,,,,,,,56.8,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_102.png
1695,Bioterg i wt.%,CeO,0.0125,3,40,263.46,0.723,,,,,,,2.0,3.0,263.65,,,,,,,56.5,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_103.png
1696,Bioterg i wt.%,CeO,0.0125,3,41,268.46,0.645,,,,,,,2.0,3.0,268.65,,,,,,,55.9,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_104.png
1697,Bioterg i wt.%,CeO,0.0125,3,42,273.46,0.674,,,,,,,1.0,-1.0,273.65,,,,,,,55.1,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_105.png
1698,Bioterg i wt.%,CeO,0.0125,3,43,278.46,0.662,,,,,,,1.0,-1.0,278.65,,,,,,,54.7,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_106.png
1699,Bioterg i wt.%,CeO,0.0125,3,44,283.46,0.642,,,,,,,1.0,-1.0,283.65,,,,,,,54.5,4.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_107.png
1700,Bioterg i wt.%,CeO,0.0125,3,45,288.46,0.583,,,,,,,1.0,-1.0,288.65,,,,,,,53.8,4.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_108.png
1701,Bioterg i wt.%,CeO,0.0125,3,46,293.46,0.574,,,,,,,1.0,0.0,293.65,,,,,,,53.2,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_109.png
1702,Bioterg i wt.%,CeO,0.0125,3,47,298.46,0.536,,,,,,,1.0,0.0,298.65,,,,,,,53.0,4.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_110.png
1703,Bioterg i wt.%,CeO,0.0125,3,48,303.46,0.541,,,,,,,1.0,0.0,303.65,,,,,,,52.4,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_111.png
1704,Bioterg i wt.%,CeO,0.0125,3,49,308.46,0.501,,,,,,,1.0,0.0,308.65,,,,,,,52.0,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_112.png
1705,Bioterg i wt.%,CeO,0.0125,3,50,313.46,0.518,,,,,,,1.0,1.0,313.65,,,,,,,51.8,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_113.png
1706,Bioterg i wt.%,CeO,0.0125,3,51,318.46,0.549,,,,,,,1.0,1.0,318.65,,,,,,,51.2,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_114.png
1707,Bioterg i wt.%,CeO,0.0125,3,52,323.46,0.579,,,,,,,1.0,1.0,323.65,,,,,,,50.8,4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_115.png
1708,Bioterg i wt.%,CeO,0.0125,3,53,328.46,0.58,,,,,,,1.0,1.0,328.65,,,,,,,50.3,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_116.png
1709,Bioterg i wt.%,CeO,0.0125,3,54,333.46,0.528,,,,,,,1.0,1.0,333.65,,,,,,,49.6,3.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_117.png
1710,Bioterg i wt.%,CeO,0.0125,3,55,338.46,0.574,,,,,,,1.0,1.0,338.65,,,,,,,48.9,3.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_118.png
1711,Bioterg i wt.%,CeO,0.0125,3,56,343.46,0.575,,,,,,,1.0,1.0,343.65,,,,,,,48.7,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_119.png
1712,Bioterg i wt.%,CeO,0.0125,3,57,348.46,0.538,,,,,,,1.0,1.0,348.65,,,,,,,48.3,3.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_120.png
1713,Bioterg i wt.%,CeO,0.0125,3,58,353.46,0.439,,,,,,,1.0,0.0,353.65,,,,,,,47.9,4.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\CeO\0.0125\3\extracted_frames\frame_121.png
